year,month,state,latitude,longitude,firespots
1999,1,AMAZONAS,-2.371113333,-59.89993333,3
1999,1,MARANHAO,-2.257394722,-45.48783056,36
1999,1,MATO GROSSO,-12.66063333,-55.05798889,18
1999,1,PARA,-2.47482046,-48.54696667,87
1999,1,RONDONIA,-12.8617,-60.5131,1
1999,1,RORAIMA,3.403224667,-60.62285333,15
1999,2,AMAPA,-0.155,-52.6831,1
1999,2,AMAZONAS,-2.763166977,-63.4297814,43
1999,2,MATO GROSSO,-12.6199875,-55.3753625,8
1999,2,PARA,-2.150617439,-53.50991053,285
1999,2,RONDONIA,-9.875,-62.5617,1
1999,2,RORAIMA,2.2562095,-61.07694,20
1999,3,AMAPA,1.138335,-50.46155,2
1999,3,AMAZONAS,-4.104805714,-66.10141429,7
1999,3,MARANHAO,-3.504865,-45.6928,4
1999,3,MATO GROSSO,-12.31615,-55.9678,4
1999,3,PARA,-5.088771429,-52.33334286,7
1999,3,RONDONIA,-12.7341125,-62.1526625,8
1999,3,RORAIMA,2.176589694,-60.68420714,98
1999,4,AMAZONAS,-3.73306,-63.64585,2
1999,4,MATO GROSSO,-12.03289767,-55.73237907,43
1999,4,PARA,-6.392086667,-52.28401667,6
1999,4,RONDONIA,-9.228073333,-63.23326667,3
1999,4,RORAIMA,2.72363125,-60.91374375,16
1999,5,MATO GROSSO,-12.39225714,-55.33517438,441
1999,5,PARA,-5.5206975,-51.333575,4
1999,5,RONDONIA,-11.66263333,-62.5489,3
1999,5,TOCANTINS,-7.02806,-49.1731,1
1999,6,AMAPA,0.399165,-52.46905,2
1999,6,AMAZONAS,-2.087541429,-64.48292857,7
1999,6,MARANHAO,-4.91306,-46.9517,1
1999,6,MATO GROSSO,-12.03594696,-55.35371788,1376
1999,6,PARA,-4.939236486,-49.51912973,37
1999,6,RONDONIA,-12.19663,-60.82178,10
1999,6,RORAIMA,1.24602,-60.3689,3
1999,6,TOCANTINS,-7.751576667,-49.14326667,3
1999,7,ACRE,-8.17,-72.59,1
1999,7,AMAZONAS,-6.943260909,-60.50082727,11
1999,7,MARANHAO,-4.601959545,-46.97330682,44
1999,7,MATO GROSSO,-11.62606783,-56.15779151,2473
1999,7,PARA,-6.464225041,-51.78840723,982
1999,7,RONDONIA,-11.2395537,-61.90890889,135
1999,7,RORAIMA,3.2032675,-60.920725,4
1999,7,TOCANTINS,-7.094614,-48.325108,25
1999,8,ACRE,-9.864001045,-67.91173881,67
1999,8,AMAZONAS,-7.310984039,-60.86655176,255
1999,8,MARANHAO,-4.489339194,-46.71342473,186
1999,8,MATO GROSSO,-11.35881312,-56.22812869,12707
1999,8,PARA,-7.077541819,-51.44166341,6179
1999,8,RONDONIA,-11.32899731,-62.24768396,1976
1999,8,RORAIMA,2.975,-61.1131,1
1999,8,TOCANTINS,-7.385336299,-48.68846494,154
1999,9,ACRE,-9.82926934,-68.23080519,212
1999,9,AMAPA,0.6145175,-51.110725,4
1999,9,AMAZONAS,-8.000526729,-64.04518925,214
1999,9,MARANHAO,-4.309715067,-46.40407333,375
1999,9,MATO GROSSO,-11.95858206,-56.09423464,7357
1999,9,PARA,-6.513025268,-50.22555895,4417
1999,9,RONDONIA,-11.38076988,-62.43536433,3059
1999,9,RORAIMA,3.76991,-60.4866,3
1999,9,TOCANTINS,-7.159755785,-48.58486602,465
1999,10,ACRE,-9.577297937,-68.86785873,63
1999,10,AMAPA,1.0229136,-51.242004,25
1999,10,AMAZONAS,-3.839571324,-61.11246366,476
1999,10,MARANHAO,-4.493400871,-46.53390871,1446
1999,10,MATO GROSSO,-12.02176788,-56.22077766,3648
1999,10,PARA,-4.338486914,-50.86212784,5026
1999,10,RONDONIA,-10.65539205,-62.66326109,1884
1999,10,RORAIMA,2.373279,-60.29556,10
1999,10,TOCANTINS,-6.689083148,-48.57327593,216
1999,11,ACRE,-8.199865,-70.143225,4
1999,11,AMAPA,1.456496923,-51.4957,26
1999,11,AMAZONAS,-3.299139286,-62.19070357,28
1999,11,MARANHAO,-3.682476226,-46.13804946,1203
1999,11,MATO GROSSO,-12.29973366,-57.8371764,445
1999,11,PARA,-3.077970623,-49.79442938,2682
1999,11,RONDONIA,-11.91357488,-62.00881707,41
1999,11,RORAIMA,1.921242667,-59.94434,15
1999,11,TOCANTINS,-6.024224,-48.22436,5
1999,12,AMAPA,0.474586829,-51.43989268,41
1999,12,AMAZONAS,-2.80653,-61.3717,2
1999,12,MARANHAO,-2.577119798,-45.66161427,841
1999,12,MATO GROSSO,-13.99335556,-58.67888889,18
1999,12,PARA,-2.746780144,-49.79739791,766
1999,12,RORAIMA,1.924723429,-60.12523714,35
2000,1,AMAPA,-0.935,-52.2642,2
2000,1,AMAZONAS,-4.956312857,-63.95565714,7
2000,1,MARANHAO,-3.577159412,-46.40108824,17
2000,1,MATO GROSSO,-13.4545,-56.93849231,13
2000,1,PARA,-2.555224333,-48.85874333,30
2000,1,RORAIMA,3.653043333,-60.19976111,18
2000,2,AMAZONAS,-3.015598226,-62.39670161,62
2000,2,MARANHAO,-3.00991,-45.85723333,3
2000,2,MATO GROSSO,-12.554244,-55.226516,25
2000,2,PARA,-3.431056207,-52.68953448,29
2000,2,RONDONIA,-12.21855,-61.69766667,6
2000,2,RORAIMA,2.786532632,-60.68671228,57
2000,3,ACRE,-9.445561818,-71.24003636,11
2000,3,AMAZONAS,-3.114922029,-62.91103188,69
2000,3,MATO GROSSO,-12.22753,-54.32358,10
2000,3,PARA,-3.691694972,-51.40436409,181
2000,3,RONDONIA,-11.24587778,-63.82321111,9
2000,3,RORAIMA,2.5943224,-60.654584,125
2000,4,ACRE,-8.46306,-70.325,1
2000,4,AMAZONAS,-2.530095,-62.54666667,18
2000,4,MARANHAO,-2.99653,-45.71835,2
2000,4,MATO GROSSO,-12.53629903,-55.38387742,31
2000,4,PARA,-4.60373175,-51.906175,40
2000,5,ACRE,-8.17167,-70.95667,1
2000,5,AMAZONAS,-6.165653922,-63.00042451,51
2000,5,MATO GROSSO,-12.05362689,-55.52224395,840
2000,5,PARA,-4.784305833,-53.155695,12
2000,5,RONDONIA,-12.04588867,-60.88866667,15
2000,5,RORAIMA,3.172144286,-60.98714143,7
2000,5,TOCANTINS,-6.799165,-48.4383325,4
2000,6,ACRE,-10.115,-67.6731,1
2000,6,AMAZONAS,-2.804076667,-66.74076667,6
2000,6,MARANHAO,-4.729922258,-47.11844839,31
2000,6,MATO GROSSO,-11.85019104,-55.49258727,3049
2000,6,PARA,-7.712625085,-50.59182542,59
2000,6,RONDONIA,-11.33408852,-61.50767037,54
2000,6,TOCANTINS,-8.437855455,-48.69616364,11
2000,7,ACRE,-9.66667,-68.215,1
2000,7,AMAZONAS,-7.554767436,-62.82752051,39
2000,7,MARANHAO,-4.551391042,-47.01413125,48
2000,7,MATO GROSSO,-11.6074084,-55.80090987,851
2000,7,PARA,-7.232115986,-52.41538263,426
2000,7,RONDONIA,-10.70131808,-62.641965,120
2000,7,TOCANTINS,-7.2365692,-48.403972,25
2000,8,ACRE,-10.03220949,-67.85371029,136
2000,8,AMAPA,0.65213,-51.1889,3
2000,8,AMAZONAS,-6.525017889,-62.29147389,180
2000,8,MARANHAO,-4.584986643,-46.73302071,140
2000,8,MATO GROSSO,-10.92206133,-55.62020417,4366
2000,8,PARA,-7.340766296,-51.16272892,5484
2000,8,RONDONIA,-11.31108816,-62.34729245,2200
2000,8,RORAIMA,2.842317778,-61.07844444,9
2000,8,TOCANTINS,-7.640192857,-48.67955165,273
2000,9,ACRE,-9.722744828,-68.17836858,261
2000,9,AMAPA,0.384971579,-51.26315789,19
2000,9,AMAZONAS,-8.03304399,-66.62310881,193
2000,9,MARANHAO,-4.146464431,-46.48157725,255
2000,9,MATO GROSSO,-11.40849235,-55.47231551,3901
2000,9,PARA,-6.322753861,-50.30744484,2569
